success,time_to_target,sim_duration,min_safety_margin,n_safety_violations,control_effort,mpc_infeasible_steps,n_steps,level,ic_idx,traj_id
True,1.3000000000000005,1.3000000000000005,6.675776200833583e-06,0,36.432113852346646,0,26,nominal,355,130
True,1.3000000000000005,1.3000000000000005,3.329253793423166e-07,0,35.6646598773176,0,26,nominal,358,131
True,0.8500000000000002,0.8500000000000002,0.00014612967343815555,0,23.507708458815443,0,17,nominal,360,132
False,,0.44999999999999996,-2.832914306043026e-06,1,14.590429730801397,1,9,nominal,364,133
True,0.8500000000000002,0.8500000000000002,9.280827988712908e-07,0,19.37345482956924,0,17,nominal,365,134
True,0.8000000000000002,0.8000000000000002,0.814263736024882,0,14.179384362162773,0,16,nominal,368,135
True,0.5499999999999999,0.5499999999999999,9.34792199253401,0,11.45494581447689,0,11,nominal,369,136
True,0.7500000000000001,0.7500000000000001,5.4499379638173885e-05,0,19.06198737926008,0,15,nominal,372,137
True,0.6,0.6,0.0009612806870439289,0,12.80658947785215,0,12,nominal,374,138
True,0.7500000000000001,0.7500000000000001,1.265083765316037e-05,0,16.949003394516733,0,15,nominal,375,139
True,0.6,0.6,5.193027031939742,0,11.537524171957658,0,12,nominal,380,140
True,1.4000000000000006,1.4000000000000006,1.2232384743759786e-05,0,51.60012507386211,0,28,nominal,383,141
True,0.7000000000000001,0.7000000000000001,7.941345215485031,0,16.75193152267274,0,14,nominal,387,142
True,0.8000000000000002,0.8000000000000002,5.579301879148819e-06,0,14.517412593318882,0,16,nominal,391,143
True,1.2000000000000004,1.2000000000000004,4.297784929116772e-06,0,31.644034141071092,0,24,nominal,395,144
True,0.7500000000000001,0.7500000000000001,4.726495757867258e-06,0,15.553137832207216,0,15,nominal,400,145
True,1.3000000000000005,1.3000000000000005,1.7115661297866337e-06,0,45.96775324946025,0,26,nominal,401,146
True,0.8500000000000002,0.8500000000000002,4.759328291973981e-06,0,17.867495737581756,0,17,nominal,402,147
False,,0.5499999999999999,-7.893410085990985e-06,1,22.814690677308743,1,11,nominal,405,148
False,,0.5499999999999999,-8.383932389882009e-06,1,21.03677694887677,1,11,nominal,408,149
True,0.6,0.6,1.1872476999093302,0,14.49308482014187,0,12,nominal,409,150
True,1.2000000000000004,1.2000000000000004,6.6282135610159436e-06,0,38.20691959859918,0,24,nominal,413,151
True,0.9500000000000003,0.9500000000000003,4.807091251346149e-06,0,19.46971516948596,0,19,nominal,415,152
True,0.9500000000000003,0.9500000000000003,4.796126421969771e-05,0,18.377628202730744,0,19,nominal,416,153
True,0.8000000000000002,0.8000000000000002,3.0723926963747238e-06,0,14.7973170760735,0,16,nominal,417,154
True,1.0500000000000003,1.0500000000000003,5.1402968668216796e-06,0,23.033749697670356,0,21,nominal,425,155
True,1.0000000000000002,1.0000000000000002,4.984002910393197e-06,0,19.364637065951605,0,20,nominal,426,156
True,0.65,0.65,9.318786090628084,0,10.47551946165253,0,13,nominal,429,157
True,0.3,0.3,4.855643968948962,0,6.853242965770531,0,6,nominal,433,158
True,0.7500000000000001,0.7500000000000001,9.150422958538412,0,12.605214004152947,0,15,nominal,434,159
True,1.2500000000000004,1.2500000000000004,4.159580198843709e-06,0,30.23073109719032,0,25,nominal,435,160
True,0.44999999999999996,0.44999999999999996,3.670449465994424,0,9.69231275313799,0,9,nominal,436,161
True,0.39999999999999997,0.39999999999999997,9.709399899629618,0,9.532892005152402,0,8,nominal,439,162
True,1.1000000000000003,1.1000000000000003,8.02151735718179e-06,0,27.760780696807938,0,22,nominal,444,163
True,1.3500000000000005,1.3500000000000005,2.6112088539026084e-06,0,35.27442553243576,0,27,nominal,445,164
False,,0.5499999999999999,-4.5500225362484086e-06,1,15.563046859400965,1,11,nominal,446,165
True,1.1500000000000004,1.1500000000000004,8.375403825006375e-06,0,29.83578198656635,0,23,nominal,447,166
True,0.9000000000000002,0.9000000000000002,1.6597108637761033e-05,0,24.033629885209173,0,18,nominal,448,167
True,0.3,0.3,4.265343413416778,0,5.756440919956971,0,6,nominal,449,168
True,0.8500000000000002,0.8500000000000002,2.4527687949202836e-06,0,16.950764442474693,0,17,nominal,452,169
True,1.1000000000000003,1.1000000000000003,1.5200376738944687e-06,0,34.62316965418049,0,22,nominal,455,170
True,0.35,0.35,3.51586007330208,0,8.203521164248254,0,7,nominal,456,171
True,0.5499999999999999,0.5499999999999999,2.0226805156228527,0,13.617575716297715,0,11,nominal,458,172
True,0.2,0.2,4.904673199184427,0,5.879123804596845,0,4,nominal,459,173
True,1.2000000000000004,1.2000000000000004,4.197835509037479e-06,0,30.922391931981537,0,24,nominal,462,174
True,0.8500000000000002,0.8500000000000002,5.194229190460155e-06,0,14.729765734217644,0,17,nominal,465,175
True,0.9000000000000002,0.9000000000000002,0.12124120914819271,0,20.9267284624155,0,18,nominal,466,176
True,0.6,0.6,5.050949796592535,0,13.387410975021641,0,12,nominal,468,177
False,,0.5499999999999999,-5.0395108838762255e-06,1,23.098315729120824,1,11,nominal,471,178
False,,0.5499999999999999,-8.295596442023137e-06,1,19.467110592478804,1,11,nominal,473,179
False,,0.5499999999999999,-7.615514748058722e-06,1,22.59777735261782,1,11,nominal,475,180
True,0.7500000000000001,0.7500000000000001,8.91222528118026,0,14.334912259261769,0,15,nominal,476,181
True,1.4000000000000006,1.4000000000000006,4.722758627147029e-06,0,38.80727175472787,0,28,nominal,478,182
True,1.1500000000000004,1.1500000000000004,3.0363277318823233e-06,0,31.759189093548244,0,23,nominal,481,183
True,1.0000000000000002,1.0000000000000002,4.65112075394648e-06,0,23.006767811790212,0,20,nominal,483,184
False,,0.49999999999999994,-3.0138093802326867e-06,1,14.146679746815181,1,10,nominal,485,185
True,0.65,0.65,7.598403169699262,0,13.391982840303088,0,13,nominal,493,186
True,0.7500000000000001,0.7500000000000001,1.9121252828008357,0,17.2997889333006,0,15,nominal,502,187
True,0.7000000000000001,0.7000000000000001,3.416427547050553e-05,0,17.20541085080418,0,14,nominal,514,188
True,1.3500000000000005,1.3500000000000005,2.4912464336748453e-06,0,33.70560778629539,0,27,nominal,517,189
True,0.9000000000000002,0.9000000000000002,7.104985269477729,0,17.008485482216937,0,18,nominal,519,190
True,1.2500000000000004,1.2500000000000004,6.02275208859665e-06,0,31.45485707226208,0,25,nominal,520,191
True,0.9500000000000003,0.9500000000000003,6.4784106351900406e-06,0,23.536706726954108,0,19,nominal,521,192
True,1.4500000000000006,1.4500000000000006,2.680520009145377e-06,0,50.05909922843642,0,29,nominal,522,193
True,0.7500000000000001,0.7500000000000001,6.626932004619954,0,13.428857729108573,0,15,nominal,528,194
True,1.4500000000000006,1.4500000000000006,3.5326929356401663e-06,0,51.58421440033071,0,29,nominal,540,195
True,1.0000000000000002,1.0000000000000002,5.1402573447383645e-06,0,26.36040386115595,0,20,nominal,541,196
True,1.0000000000000002,1.0000000000000002,7.2955217161012885e-06,0,28.340589724377036,0,20,nominal,544,197
True,0.44999999999999996,0.44999999999999996,4.683153818069148,0,7.1951690065124305,0,9,nominal,546,198
True,1.1500000000000004,1.1500000000000004,4.934372082755856e-06,0,25.239312828441918,0,23,nominal,548,199
True,0.9500000000000003,0.9500000000000003,5.572370759226971e-06,0,23.009286617205756,0,19,nominal,550,200
True,1.0500000000000003,1.0500000000000003,2.938826184125763e-06,0,25.33719641816051,0,21,nominal,553,201
True,1.3000000000000005,1.3000000000000005,4.345495659030955e-06,0,44.99886720171998,0,26,nominal,554,202
